"","health_outcomes_rank","health_factors_rank","life_length_rank","life_quality_rank","health_behav_rank","clinical_care_rank","socio_econ_fact_rank","physical_env_rank","County"
"163",5.14285714285714,6.57142857142857,3.85714285714286,7.57142857142857,7,5.42857142857143,7.71428571428571,2.14285714285714,35
"164",9.42857142857143,4.71428571428571,9.71428571428571,7.28571428571429,2.42857142857143,3.71428571428571,8.28571428571428,3.85714285714286,36
"165",4.14285714285714,3.28571428571429,3,5.28571428571429,2.85714285714286,2.42857142857143,4.42857142857143,5,37
"166",2.57142857142857,1.71428571428571,2.71428571428571,2.14285714285714,2.71428571428571,5.71428571428571,1.14285714285714,2,38
"167",5.85714285714286,3.71428571428571,7,4.71428571428571,1.57142857142857,4.57142857142857,6.14285714285714,9.28571428571428,39
"168",4.28571428571429,3.42857142857143,4.42857142857143,4.42857142857143,3.57142857142857,1.57142857142857,4.71428571428571,6,40
"169",8.14285714285714,8.14285714285714,7.14285714285714,8.42857142857143,7.71428571428571,8,7.14285714285714,5.57142857142857,41
"170",7.14285714285714,7.28571428571429,7.57142857142857,6.71428571428571,4.57142857142857,5.57142857142857,8.71428571428571,5.85714285714286,42
"171",4.57142857142857,6,1.57142857142857,9.85714285714286,6.57142857142857,8.14285714285714,4.57142857142857,5.14285714285714,43
"172",9.71428571428571,6.42857142857143,9.42857142857143,9.42857142857143,5.57142857142857,10,3.42857142857143,2.71428571428571,44
"173",1.42857142857143,1.14285714285714,1.28571428571429,1.85714285714286,2.14285714285714,1.85714285714286,1.28571428571429,4.57142857142857,45
"174",8.71428571428571,9.42857142857143,9,5.85714285714286,8,7.28571428571429,9.42857142857143,9.42857142857143,46
"175",4,6.14285714285714,3.42857142857143,4.57142857142857,6.28571428571429,2.71428571428571,7.85714285714286,8.42857142857143,47
"176",4.85714285714286,5,4.85714285714286,6.14285714285714,5.42857142857143,4.28571428571429,6,6.57142857142857,48
"177",8.57142857142857,7.71428571428571,8,8.71428571428571,9.57142857142857,3.28571428571429,7,5.71428571428571,49
"178",6.28571428571429,5.85714285714286,5.28571428571429,8.57142857142857,6,5.85714285714286,5.71428571428571,7.57142857142857,50
"179",5.57142857142857,6.71428571428571,5.71428571428571,6.28571428571429,8.71428571428571,2.28571428571429,8,6.42857142857143,51
"180",1,1,1,1.28571428571429,1.14285714285714,1.42857142857143,1,1.42857142857143,52
"181",7.71428571428571,5.57142857142857,8.57142857142857,5,5.85714285714286,5.28571428571429,7.28571428571429,1,53
"182",9,9.57142857142857,9.14285714285714,4.28571428571429,5,8.57142857142857,9.85714285714286,3.14285714285714,54
"183",4.71428571428571,5.42857142857143,5.14285714285714,4.85714285714286,9.14285714285714,3.42857142857143,4.28571428571429,6.14285714285714,55
"184",6,8.71428571428571,6.85714285714286,5.14285714285714,8.85714285714286,9,7.42857142857143,4.71428571428571,56
