Year,FIPS,State,County,Year,health_outcomes_rank,health_factors_rank,life_length_rank,life_quality_rank,health_behav_rank,clinical_care_rank,socio_econ_fact_rank,physical_env_rank,premature_deaths,premature_death_ypll_rate,ypll_black,ypll_hispanic,ypll_white,life_expectancy,life_expectancy_black,life_expectancy_hispanic,life_expectancy_white,poor_or_fair_health_percent,poor_physical_health_days_avg,adult_smoking_percent,excessive_drinking_percent,adult_obesity_percent,food_env_index,uninsured_percent,number_of_diabetics,percent_receiving_hba1c,percent_receiving_hba1c_black,percent_receiving_hba1c_white,AFGR,hs_grad_rate,PSED_completion_rate,unemployed_percent,income_inequality_GINI,income_ineq_80th_percentile_income,income_ineq_20th_percentile_income,income_ineq_income_ratio,percent_no_emo_social_support,percent_access_healthy_food_access,percent_limited_access_healthy_food_access,percent_food_insecure,percent_fast_food,access_exercise_opp_percent,access_rec_fac_rate,park_access_percent,diabetic_percent,binge_drinking_percent,physical_inactivity_percent,median_household_income,res_segregation_index_black_white,res_segregation_index_nonwh_white,liquor_store_density_rate,african_american_percent,american_indian_percent,asian_percent,pacific_islander_percent,hispanic_percent,nonhispanic_white_percent,not_eng_prof_percent,female,rural
2010,22085,Louisiana,Sabine,2010,29,35,18,46,38,57,25,11,355,9963,,,,,,,,24,4.7,24,6,32,,26,289,62,,,75,,11,5,47,,,,30,44,,,,,,,,6,,,,,0,,,,,,,,,
2010,22087,Louisiana,St. Bernard,2010,62,59,60,59,43,63,54,38,922,13770,,,,,,,,24,4.8,30,17,29,,29,303,72,,,25,,11,5,43,,,,,33,,,,,,,,17,,,,,0,,,,,,,,,
2010,22089,Louisiana,St. Charles,2010,10,11,17,9,28,25,4,50,586,9862,,,,,,,,18,3.1,23,18,32,,20,235,80,,,78,,19,4,42,,,,17,60,,,,,,,,18,,,,,0.4,,,,,,,,,
2010,22091,Louisiana,St. Helena,2010,58,57,56,58,49,53,57,29,171,12706,,,,,,,,23,4.6,,,33,,27,75,67,,,56,,13,9,46,,,,,50,,,,,,,,,,,,,0.9,,,,,,,,,
2010,22093,Louisiana,St. James,2010,26,45,24,29,54,24,30,60,303,10157,,,,,,,,19,4.5,23,22,33,,19,256,57,,,71,,14,7,41,,,,,63,,,,,,,,22,,,,,0,,,,,,,,,
2010,22095,Louisiana,St. John the Baptist,2010,31,25,30,35,42,11,32,44,620,10750,,,,,,,,19,3.8,20,10,35,,19,375,75,,,66,,15,5,42,,,,21,50,,,,,,,,10,,,,,0,,,,,,,,,
2010,22097,Louisiana,St. Landry,2010,56,42,51,60,45,15,51,3,1434,12429,,,,,,,,22,4.5,28,13,30,,18,886,70,,,65,,12,5,51,,,,29,60,,,,,,,,13,,,,,0.2,,,,,,,,,
2010,22099,Louisiana,St. Martin,2010,38,30,28,53,48,36,26,4,705,10598,,,,,,,,25,4.5,24,17,32,,23,464,77,,,60,,10,4,46,,,,22,75,,,,,,,,17,,,,,0.2,,,,,,,,,
2010,22101,Louisiana,St. Mary,2010,41,40,43,43,58,10,34,51,898,11586,,,,,,,,24,4,26,13,33,,18,709,86,,,78,,10,5,44,,,,24,40,,,,,,,,13,,,,,0.4,,,,,,,,,
2010,22103,Louisiana,St. Tammany,2010,1,1,3,2,1,16,1,27,2617,8629,,,,,,,,14,2.9,23,16,26,,23,1232,76,,,72,,30,4,44,,,,16,50,,,,,,,,16,,,,,0.4,,,,,,,,,
2010,22105,Louisiana,Tangipahoa,2010,52,31,57,30,44,23,38,12,1795,13101,,,,,,,,22,3.3,23,12,32,,19,1102,76,,,72,,18,5,50,,,,23,59,,,,,,,,12,,,,,0.1,,,,,,,,,
